Region,Value
European Union,3511000
Other Europe,388000
Middle East & Central Asia,372000
East Asia,364000
South Asia,1754000
South East Asia,407000
Sub-Saharan Africa,1516000
North Africa,140000
North America,366000
Central and South America,547000
Oceania,248000
