Quarter,C,U
Oct-Dec 2015,migrant,6.1
Jan-Mar 2016,migrant,6.1
Apr-Jun 2016,migrant,5.5
Jul-Sep 2016,migrant,5.6
Oct-Dec 2016,migrant,5.2
Jan-Mar 2017,migrant,5.8
Apr-Jun 2017,migrant,5.3
Jul-Sep 2017,migrant,4.7
Oct-Dec 2017,migrant,4.8
Jan-Mar 2018,migrant,5.0
Apr-Jun 2018,migrant,4.5
Jul-Sep 2018,migrant,5.0
Oct-Dec 2018,migrant,4.4
Jan-Mar 2019,migrant,4.6
Apr-Jun 2019,migrant,4.6
Jul-Sep 2019,migrant,4.3
Oct-Dec 2019,migrant,3.9
Jan-Mar 2020,migrant,4.5
Apr-Jun 2020,migrant,4.6
Jul-Sep 2020,migrant,6.5
Oct-Dec 2020,migrant,7.1
Jan-Mar 2021,migrant,6.7
Apr-Jun 2021,migrant,5.7
Jul-Sep 2021,migrant,5.7
Oct-Dec 2021,migrant,5.3
Jan-Mar 2022,migrant,4.8
Apr-Jun 2022,migrant,4.6
Jul-Sep 2022,migrant,5.0
